subject,timing,session,run,trial,target,response,correct,pulse_count,trial_dur,wait_pre_stim
S1,shorter,1,3,10,0,0,True,3,6.17681667028,1.14174660955
S1,shorter,1,3,11,0,0,True,4,8.551777680510002,1.1900852672700002
S1,shorter,1,3,12,1,1,True,1,2.7154686264900003,1.3956245846200002
S1,shorter,1,3,13,1,1,True,1,4.49191495825,3.23073015181
S1,shorter,1,3,14,1,1,True,1,3.850511708890001,2.5892910764400003
S1,shorter,1,3,15,1,1,True,5,10.4688605467,1.20050325805
S1,shorter,1,3,16,0,0,True,5,14.651782780479998,3.85641068728
S1,shorter,1,3,17,0,1,False,1,4.34463697524,1.95160246977
S1,shorter,1,3,18,0,0,True,2,4.937172207780001,1.4943863314
S1,shorter,1,3,19,0,0,True,5,10.95498326207,1.6229919142700002
S1,shorter,1,3,20,0,1,False,1,5.255437688499999,1.7987407063799998
S1,shorter,1,3,21,0,0,True,1,2.5890870759099998,1.03741919474
S1,shorter,1,3,22,1,0,False,2,3.9522083174000002,1.1534823949200002
S1,shorter,1,3,23,1,1,True,2,6.195882902879998,1.4575535417399998
S1,shorter,1,3,24,0,1,False,3,8.27001448397,1.16695257038
S1,shorter,1,3,25,1,1,True,3,6.44797176708,1.49487554218
S1,shorter,1,3,26,1,1,True,1,5.726466245379998,1.82576219706
S1,shorter,1,3,27,1,1,True,2,6.488969707000001,2.27785048005
S1,shorter,1,3,28,0,0,True,2,4.678014306830001,1.40872320727
S1,shorter,1,3,29,1,1,True,5,9.32928731136,1.68495894877
S1,shorter,1,3,30,1,1,True,3,10.48221338648,2.09250692022
S1,shorter,1,3,31,1,0,False,3,8.21424344205,1.34309835428
S1,shorter,1,3,32,1,1,True,1,4.22221595561,2.26506112244
S1,shorter,1,3,33,0,0,True,1,3.11680898688,1.7899103852
S1,shorter,1,3,34,1,1,True,1,3.09626307537,1.73234902654
S1,shorter,1,3,35,1,1,True,2,8.227952291760001,2.9789159243900003
S1,shorter,1,3,36,1,1,True,5,9.47140251906,1.3732215543700002
S1,shorter,1,3,37,1,1,True,3,8.63825699334,1.71475353377
S1,shorter,1,3,38,1,1,True,3,9.42744408341,3.1712282092
S1,shorter,1,4,1,1,0,False,1,3.5428942956199996,1.14789770594
S1,shorter,1,4,2,0,0,True,2,6.12054728783,2.14538533291
S1,shorter,1,4,3,1,1,True,4,10.4986494266,2.79765944383
S1,shorter,1,4,4,1,1,True,1,3.46350671852,1.1317501979200002
S1,shorter,1,4,5,0,0,True,3,8.831043125079997,3.26343696887
S1,shorter,1,4,6,0,0,True,4,8.557131275969999,1.80797536876
S1,shorter,1,4,7,0,0,True,2,4.97826133861,2.09170276521
S1,shorter,1,4,8,0,1,False,1,4.106498381990002,1.31595932464
S1,shorter,1,4,9,0,0,True,5,12.54997270131,1.65749982591
